Source_Type	Validated	Source	Family_F	Genus_F	Species_F	Class_H	Order_H	Family_H	Subfamily_H	Tribe_H	Subtribe_H	Genus_H	Species_H	Location	Life_Stage_H	Reported_F	Reported_H	Level_Reported_H	Level_H
Journals & Books	1	Massee (1895); Kobayasi (1941); Kautman & Kautmanová (2009); Kautmanová (2002); Klingen et al. (2002); Kobayasi (1937); Moingeon (2003); Zang and Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Carabidae	NA	NA	NA	Carabus	Carabus hortensis	NA	Larva or Adult (this EF species occurs on both larvae and adults; this does not necessarily consider the host ID of this record)	Cordyceps entomorrhiza	Carabus hortensis	Species	Species
Journals & Books	1	Massee (1895); Kobayasi (1941); Kautman & Kautmanová (2009); Kautmanová (2002); Klingen et al. (2002); Kobayasi (1937); Moingeon (2003); Zang and Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Carabidae	NA	NA	NA	Carabus	Carabus intricatus	NA	Larva or Adult (this EF species occurs on both larvae and adults; this does not necessarily consider the host ID of this record)	Cordyceps entomorrhiza	Carabus intricatus	Species	Species
Journals & Books	1	Massee (1895); Kobayasi (1941); Kautman & Kautmanová (2009); Kautmanová (2002); Klingen et al. (2002); Kobayasi (1937); Moingeon (2003); Zang and Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Carabidae	NA	NA	NA	Carabus	Carabus nemoralis	NA	Larva or Adult (this EF species occurs on both larvae and adults; this does not necessarily consider the host ID of this record)	Cordyceps entomorrhiza	Carabus nemoralis	Species	Species
Journals & Books	1	Massee (1895); Kobayasi (1941); Kautman & Kautmanová (2009); Kautmanová (2002); Klingen et al. (2002); Kobayasi (1937); Moingeon (2003); Zang and Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Carabidae	NA	NA	NA	Carabus	Carabus nemorensis	NA	Larva or Adult (this EF species occurs on both larvae and adults; this does not necessarily consider the host ID of this record)	Cordyceps entomorrhiza	Carabus nemorensis	Species	Species
Journals & Books	1	Chachuła et al. (2020)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Carabidae	NA	NA	NA	Carabus	Carabus violaceus	Poland	Adult	Ophiocordyceps entomorrhiza	Carabus violaceus	Species	Species
Journals & Books	1	Chachuła et al. (2020)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Carabidae	NA	NA	NA	Carabus	Carabus violaceus	Poland	Larva	Ophiocordyceps entomorrhiza	Carabus violaceus	Species	Species
Journals & Books	1	Kautmanova (2002)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Carabidae	NA	NA	NA	Carabus	Carabus violaceus	Slovakia	Larva or Adult (this EF species occurs on both larvae and adults; this does not necessarily consider the host ID of this record)	Cordyceps entomorrhiza	Carabus violaceus	Species	Species
Journals & Books	1	Massee (1895); Kobayasi (1941); Kautman & Kautmanová (2009); Kautmanová (2002); Klingen et al. (2002); Kobayasi (1937); Moingeon (2003); Zang and Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Carabidae	NA	NA	NA	Hadrocarabus	Hadrocarabus problematicus	NA	Larva or Adult (this EF species occurs on both larvae and adults; this does not necessarily consider the host ID of this record)	Cordyceps entomorrhiza	Hadrocarabus (no result in NCBI Taxon database) problematicus	Species	Species
Journals & Books	1	Massee (1895); Kobayasi (1941); Kautman & Kautmanová (2009); Kautmanová (2002); Klingen et al. (2002); Kobayasi (1937); Moingeon (2003); Zang and Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Carabidae	NA	NA	NA	Pterostichus	NA	NA	Larva or Adult (this EF species occurs on both larvae and adults; this does not necessarily consider the host ID of this record)	Cordyceps entomorrhiza	Pterostichus	Genus	Genus
Journals & Books	1	Massee (1895); Kobayasi (1941); Kautman & Kautmanová (2009); Kautmanová (2002); Klingen et al. (2002); Kobayasi (1937); Moingeon (2003); Zang and Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Cerambycidae	NA	NA	NA	Leptura	NA	NA	Larva or Adult (this EF species occurs on both larvae and adults; this does not necessarily consider the host ID of this record)	Cordyceps entomorrhiza	Leptura	Genus	Genus
